facility_name,city,state,country
Illinois CancerCare-Princeton,Princeton,Illinois,United States
Southern Illinois University School of Medicine,Springfield,Illinois,United States
Springfield Clinic,Springfield,Illinois,United States
Memorial Medical Center,Springfield,Illinois,United States
Southwest Illinois Health Services LLP,Swansea,Illinois,United States
Mary Greeley Medical Center,Ames,Iowa,United States
McFarland Clinic PC - Ames,Ames,Iowa,United States
McFarland Clinic PC-Boone,Boone,Iowa,United States
McFarland Clinic PC-Trinity Cancer Center,Fort Dodge,Iowa,United States
McFarland Clinic PC-Jefferson,Jefferson,Iowa,United States
McFarland Clinic PC-Marshalltown,Marshalltown,Iowa,United States
Siouxland Regional Cancer Center,Sioux City,Iowa,United States
Cancer Center of Kansas - Chanute,Chanute,Kansas,United States
Cancer Center of Kansas - Dodge City,Dodge City,Kansas,United States
Cancer Center of Kansas - El Dorado,El Dorado,Kansas,United States
Cancer Center of Kansas - Fort Scott,Fort Scott,Kansas,United States
Central Care Cancer Center - Garden City,Garden City,Kansas,United States
Central Care Cancer Center - Great Bend,Great Bend,Kansas,United States
Cancer Center of Kansas-Independence,Independence,Kansas,United States
Cancer Center of Kansas-Kingman,Kingman,Kansas,United States
Lawrence Memorial Hospital,Lawrence,Kansas,United States
Kansas Institute of Medicine Cancer and Blood Center,Lenexa,Kansas,United States
Minimally Invasive Surgery Hospital,Lenexa,Kansas,United States
Cancer Center of Kansas-Liberal,Liberal,Kansas,United States
Cancer Center of Kansas-Manhattan,Manhattan,Kansas,United States
Cancer Center of Kansas - McPherson,McPherson,Kansas,United States
Cancer Center of Kansas - Newton,Newton,Kansas,United States
Menorah Medical Center,Overland Park,Kansas,United States
Cancer Center of Kansas - Parsons,Parsons,Kansas,United States
Cancer Center of Kansas - Pratt,Pratt,Kansas,United States
Cancer Center of Kansas - Salina,Salina,Kansas,United States
Cancer Center of Kansas - Wellington,Wellington,Kansas,United States
Associates In Womens Health,Wichita,Kansas,United States
Cancer Center of Kansas-Wichita Medical Arts Tower,Wichita,Kansas,United States
Ascension Via Christi Hospitals Wichita,Wichita,Kansas,United States
Cancer Center of Kansas - Wichita,Wichita,Kansas,United States
Wesley Medical Center,Wichita,Kansas,United States
Cancer Center of Kansas - Winfield,Winfield,Kansas,United States
Ochsner Medical Center Jefferson,New Orleans,Louisiana,United States
Riverwood Healthcare Center,Aitkin,Minnesota,United States
Sanford Joe Lueken Cancer Center,Bemidji,Minnesota,United States
Essentia Health Saint Joseph's Medical Center,Brainerd,Minnesota,United States
Fairview Ridges Hospital,Burnsville,Minnesota,United States
Minnesota Oncology - Burnsville,Burnsville,Minnesota,United States
Cambridge Medical Center,Cambridge,Minnesota,United States
Mercy Hospital,Coon Rapids,Minnesota,United States
Essentia Health - Deer River Clinic,Deer River,Minnesota,United States
Essentia Health Saint Mary's - Detroit Lakes Clinic,Detroit Lakes,Minnesota,United States
Essentia Health Cancer Center,Duluth,Minnesota,United States
Essentia Health Saint Mary's Medical Center,Duluth,Minnesota,United States
Miller-Dwan Hospital,Duluth,Minnesota,United States
Fairview Southdale Hospital,Edina,Minnesota,United States
Lake Region Healthcare Corporation-Cancer Care,Fergus Falls,Minnesota,United States
Essentia Health - Fosston,Fosston,Minnesota,United States
Unity Hospital,Fridley,Minnesota,United States
Essentia Health Hibbing Clinic,Hibbing,Minnesota,United States
Fairview Clinics and Surgery Center Maple Grove,Maple Grove,Minnesota,United States
Minnesota Oncology Hematology PA-Maplewood,Maplewood,Minnesota,United States
Saint John's Hospital - Healtheast,Maplewood,Minnesota,United States
Abbott-Northwestern Hospital,Minneapolis,Minnesota,United States
Hennepin County Medical Center,Minneapolis,Minnesota,United States
Health Partners Inc,Minneapolis,Minnesota,United States
Monticello Cancer Center,Monticello,Minnesota,United States
New Ulm Medical Center,New Ulm,Minnesota,United States
Essentia Health - Park Rapids,Park Rapids,Minnesota,United States
Fairview Northland Medical Center,Princeton,Minnesota,United States
North Memorial Medical Health Center,Robbinsdale,Minnesota,United States
Mayo Clinic in Rochester,Rochester,Minnesota,United States
Park Nicollet Clinic - Saint Louis Park,Saint Louis Park,Minnesota,United States
Regions Hospital,Saint Paul,Minnesota,United States
United Hospital,Saint Paul,Minnesota,United States
Essentia Health Sandstone,Sandstone,Minnesota,United States
Saint Francis Regional Medical Center,Shakopee,Minnesota,United States
Lakeview Hospital,Stillwater,Minnesota,United States
Sanford Thief River Falls Medical Center,Thief River Falls,Minnesota,United States
Essentia Health Virginia Clinic,Virginia,Minnesota,United States
Ridgeview Medical Center,Waconia,Minnesota,United States
Rice Memorial Hospital,Willmar,Minnesota,United States
Minnesota Oncology Hematology PA-Woodbury,Woodbury,Minnesota,United States
Sanford Cancer Center Worthington,Worthington,Minnesota,United States
Fairview Lakes Medical Center,Wyoming,Minnesota,United States
Central Care Cancer Center - Bolivar,Bolivar,Missouri,United States
Parkland Health Center-Bonne Terre,Bonne Terre,Missouri,United States
Saint Francis Medical Center,Cape Girardeau,Missouri,United States
Southeast Cancer Center,Cape Girardeau,Missouri,United States
Parkland Health Center - Farmington,Farmington,Missouri,United States
Centerpoint Medical Center LLC,Independence,Missouri,United States
Capital Region Southwest Campus,Jefferson City,Missouri,United States
Research Medical Center,Kansas City,Missouri,United States
Sainte Genevieve County Memorial Hospital,Sainte Genevieve,Missouri,United States
Missouri Baptist Medical Center,St Louis,Missouri,United States
Missouri Baptist Sullivan Hospital,Sullivan,Missouri,United States
Missouri Baptist Outpatient Center-Sunset Hills,Sunset Hills,Missouri,United States
Saint Vincent Healthcare,Billings,Montana,United States
Saint Vincent Frontier Cancer Center,Billings,Montana,United States
Saint James Community Hospital and Cancer Treatment Center,Butte,Montana,United States
Memorial Sloan Kettering Cancer Center,New York,New York,United States
AdventHealth Infusion Center Asheville,Asheville,North Carolina,United States
AdventHealth Infusion Center Haywood,Clyde,North Carolina,United States
AdventHealth Hendersonville,Hendersonville,North Carolina,United States
Sanford Bismarck Medical Center,Bismarck,North Dakota,United States
Essentia Health Cancer Center-South University Clinic,Fargo,North Dakota,United States
Sanford South University Medical Center,Fargo,North Dakota,United States
Sanford Broadway Medical Center,Fargo,North Dakota,United States
Sanford Roger Maris Cancer Center,Fargo,North Dakota,United States
Essentia Health - Jamestown Clinic,Jamestown,North Dakota,United States
Bryn Mawr Hospital,Bryn Mawr,Pennsylvania,United States
Main Line Health Center-Collegeville,Collegeville,Pennsylvania,United States
Geisinger Medical Center,Danville,Pennsylvania,United States
Main Line Health Center-Exton,Exton,Pennsylvania,United States
Riddle Memorial Hospital,Media,Pennsylvania,United States
Paoli Memorial Hospital,Paoli,Pennsylvania,United States
University of Pennsylvania/Abramson Cancer Center,Philadelphia,Pennsylvania,United States
Lankenau Medical Center,Wynnewood,Pennsylvania,United States
Gibbs Cancer Center-Gaffney,Gaffney,South Carolina,United States
Saint Francis Hospital,Greenville,South Carolina,United States
Saint Francis Cancer Center,Greenville,South Carolina,United States
Gibbs Cancer Center-Pelham,Greer,South Carolina,United States
Spartanburg Medical Center,Spartanburg,South Carolina,United States
MGC Hematology Oncology-Union,Union,South Carolina,United States
Sanford Cancer Center Oncology Clinic,Sioux Falls,South Dakota,United States
Sanford USD Medical Center - Sioux Falls,Sioux Falls,South Dakota,United States
Baptist Memorial Hospital and Cancer Center-Memphis,Memphis,Tennessee,United States
American Fork Hospital / Huntsman Intermountain Cancer Center,American Fork,Utah,United States
Sandra L Maxwell Cancer Center,Cedar City,Utah,United States
Logan Regional Hospital,Logan,Utah,United States
Intermountain Medical Center,Murray,Utah,United States
McKay-Dee Hospital Center,Ogden,Utah,United States
Utah Valley Regional Medical Center,Provo,Utah,United States
Riverton Hospital,Riverton,Utah,United States
Utah Cancer Specialists-Salt Lake City,Salt Lake City,Utah,United States
LDS Hospital,Salt Lake City,Utah,United States
Dixie Medical Center Regional Cancer Center,St. George,Utah,United States
MultiCare Auburn Medical Center,Auburn,Washington,United States
MultiCare Gig Harbor Medical Park,Gig Harbor,Washington,United States
Jefferson Healthcare,Port Townsend,Washington,United States
MultiCare Good Samaritan Hospital,Puyallup,Washington,United States
MultiCare Deaconess Cancer and Blood Specialty Center - Downtown,Spokane,Washington,United States
MultiCare Deaconess Cancer and Blood Specialty Center - North,Spokane,Washington,United States
MultiCare Deaconess Cancer and Blood Specialty Center - Valley,Spokane Valley,Washington,United States
Mary Bridge Children's Hospital and Health Center,Tacoma,Washington,United States
MultiCare Tacoma General Hospital,Tacoma,Washington,United States
ThedaCare Regional Cancer Center,Appleton,Wisconsin,United States
Duluth Clinic Ashland,Ashland,Wisconsin,United States
Northwest Wisconsin Cancer Center,Ashland,Wisconsin,United States
Aurora Cancer Care-Southern Lakes VLCC,Burlington,Wisconsin,United States
Aurora Saint Luke's South Shore,Cudahy,Wisconsin,United States
Marshfield Medical Center-EC Cancer Center,Eau Claire,Wisconsin,United States
Aurora Health Center-Fond du Lac,Fond du Lac,Wisconsin,United States
Aurora Health Care Germantown Health Center,Germantown,Wisconsin,United States
Aurora Cancer Care-Grafton,Grafton,Wisconsin,United States
Aurora BayCare Medical Center,Green Bay,Wisconsin,United States
Aurora Cancer Care-Kenosha South,Kenosha,Wisconsin,United States
Gundersen Lutheran Medical Center,La Crosse,Wisconsin,United States
Aurora Bay Area Medical Group-Marinette,Marinette,Wisconsin,United States
Marshfield Medical Center-Marshfield,Marshfield,Wisconsin,United States
Aurora Cancer Care-Milwaukee,Milwaukee,Wisconsin,United States
Aurora Saint Luke's Medical Center,Milwaukee,Wisconsin,United States
Aurora Sinai Medical Center,Milwaukee,Wisconsin,United States
Marshfield Clinic-Minocqua Center,Minocqua,Wisconsin,United States
Cancer Center of Western Wisconsin,New Richmond,Wisconsin,United States
Vince Lombardi Cancer Clinic - Oshkosh,Oshkosh,Wisconsin,United States
Aurora Cancer Care-Racine,Racine,Wisconsin,United States
Lakeview Medical Center-Marshfield Clinic,Rice Lake,Wisconsin,United States
Marshfield Medical Center-Rice Lake,Rice Lake,Wisconsin,United States
Vince Lombardi Cancer Clinic-Sheboygan,Sheboygan,Wisconsin,United States
Marshfield Clinic Stevens Point Center,Stevens Point,Wisconsin,United States
Aurora Medical Center in Summit,Summit,Wisconsin,United States
Vince Lombardi Cancer Clinic-Two Rivers,Two Rivers,Wisconsin,United States
Aurora Cancer Care-Milwaukee West,Wauwatosa,Wisconsin,United States
Aurora West Allis Medical Center,West Allis,Wisconsin,United States
Marshfield Medical Center - Weston,Weston,Wisconsin,United States
Cheyenne Regional Medical Center-West,Cheyenne,Wyoming,United States
Advance Oncology Center,Aguadilla,,Puerto Rico
Doctor's Cancer Center-Arecibo,Arecibo,,Puerto Rico
Cancer Center-Metro Medical Center Bayamon,Bayamón,,Puerto Rico
Hematologia Oncologia San Pablo,Bayamón,,Puerto Rico
HIMA San Pablo Oncologic Hospital,Caguas,,Puerto Rico
Doctors Cancer Center,Manati,,Puerto Rico
Instituto Oncologia Moderna Ponce,Ponce,,Puerto Rico
San Juan Community Oncology Group,San Juan,,Puerto Rico
Primary Care Physician Group,San Juan,,Puerto Rico
Centro Comprensivo de Cancer de UPR,San Juan,,Puerto Rico
San Juan City Hospital,San Juan,,Puerto Rico
Centro de Hematologia y Oncologia del Sur,Santa Isabel,,Puerto Rico
Research Site,Burbank,California,United States
Research Site,Duarte,California,United States
Research Site,La Jolla,California,United States
Research Site,West Hollywood,California,United States
Research Site,Aurora,Colorado,United States
Research Site,Iowa City,Iowa,United States
Research Site,Covington,Louisiana,United States
Research Site,Boston,Massachusetts,United States
Research Site,Rochester,Minnesota,United States
Research Site,New Brunswick,New Jersey,United States
Research Site,New York,New York,United States
Research Site,The Bronx,New York,United States
Research Site,Spokane,Washington,United States
Research Site,Vancouver,Washington,United States
Research Site,Toronto,,Canada
Research Site,Dijon,,France
Research Site,Marseille,,France
Research Site,Nice,,France
Research Site,Pierre-Bénite,,France
Research Site,Saint-Herblain,,France
Research Site,Milan,,Italy
Research Site,Naples,,Italy
Research Site,Roma,,Italy
Research Site,A Coruña,,Spain
Research Site,Barcelona,,Spain
Research Site,Pozuelo de Alarcón,,Spain
Not Provided,,,
The Third Affiliated Hospital of Guangzhou Medical University,Guangzhou,Guangdong,China
Chizhou Health Center for Disease Control and Prevention,Chizhou,Anhui,China
Jiading District Center for Disease Control and Prevention,Shanghai,Shanghai Municipality,China
Huntsman Cancer Institute/University of Utah,Salt Lake City,Utah,United States
City of Hope National Medical Center /ID# 273338,Duarte,California,United States
Valkyrie Clinical Trials /ID# 269935,Los Angeles,California,United States
Desert Regional Medical Center /ID# 272437,Palm Springs,California,United States
Lutheran Medical Center- Cancer Centers of Colorado /ID# 265823,Golden,Colorado,United States
City Of Hope - Atlanta. /ID# 273092,Newnan,Georgia,United States
Rush University Medical Center /ID# 242103,Chicago,Illinois,United States
City Of Hope - Chicago /ID# 274430,Zion,Illinois,United States
Northwest Cancer Center - Dyer Clinic /ID# 269787,Dyer,Indiana,United States
Cancer Center of Kansas - Wichita /ID# 270117,Wichita,Kansas,United States
University of Kentucky Chandler Medical Center. /ID# 242087,Lexington,Kentucky,United States
"University of Maryland, Baltimore /ID# 242216",Baltimore,Maryland,United States
Henry Ford Hospital /ID# 266446,Detroit,Michigan,United States
Gulfport Memorial Hospital /ID# 268104,Gulfport,Mississippi,United States
New York Medical College /ID# 265799,Valhalla,New York,United States
East Carolina University - Brody School of Medicine /ID# 242227,Greenville,North Carolina,United States
Thompson Cancer Survival Ctr /ID# 242149,Knoxville,Tennessee,United States
Community Cancer Trials Of Utah /ID# 271715,Ogden,Utah,United States
Utah Cancer Specialists - Salt Lake City /ID# 268603,Salt Lake City,Utah,United States
Veterans Affairs Medical Center - Salt Lake City /ID# 265329,Salt Lake City,Utah,United States
Hospital Universitario Austral /ID# 242791,Pilar,Buenos Aires,Argentina
Fundaleu /Id# 242789,Ciudad Autonoma de Buenos Aire,Buenos Aires F.D.,Argentina
Instituto Alexander Fleming /ID# 263804,Ciudad Autonoma de Buenos Aire,Buenos Aires F.D.,Argentina
Canberra Hospital /ID# 265312,Garran,Australian Capital Territory,Australia
Royal Prince Alfred Hospital /ID# 263242,Sydney,New South Wales,Australia
Wollongong Hospital /ID# 244646,Wollongong,New South Wales,Australia
Toowoomba Hospital /ID# 263243,Toowoomba,Queensland,Australia
Monash Health - Monash Medical Centre /ID# 262783,Clayton,Victoria,Australia
Royal Perth Hospital /ID# 243790,Perth,Western Australia,Australia
Universitair Ziekenhuis Brussel /ID# 242574,Jette,Brussels Capital,Belgium
Centre Hospitalier Epicura - Hornu /ID# 265148,Boussu,Hainaut,Belgium
Universite Catholique de Louvain-Namur - Centre Hospitalier Universitaire Dinant /ID# 242565,Yvoir,Namur,Belgium
Universitair Ziekenhuis Leuven /ID# 246671,Leuven,Vlaams-Brabant,Belgium
AZ-Delta. /ID# 264740,Roeselare,West-Vlaanderen,Belgium
Hospital Sao Rafael /ID# 262949,Salvador,Estado de Bahia,Brazil
Hospital Erasto Gaertner /ID# 264049,Curitiba,Puerto Rico,Brazil
Hospital das Clinicas da Faculdade de Medicina de Ribeirao Preto /ID# 264045,Ribeirão Preto,São Paulo,Brazil
Hospital Alemao Oswaldo Cruz /ID# 247418,São Paulo,,Brazil
Instituto D'Or de Pesquisa e Ensino - Regional Sao Paulo /ID# 263944,São Paulo,,Brazil
Hospital das Clinicas da Faculdade de Medicina da Universidade de Sao /ID# 242425,São Paulo,,Brazil
UMHAT Sveti Georgi /ID# 242905,Plovdiv,,Bulgaria
UMHAT Sveti Ivan Rilski /ID# 242389,Sofia,,Bulgaria
SHAT Hematologic Diseases /ID# 242708,Sofia,,Bulgaria
UMHAT Multiprofile Hospital for Active Treatment Sveta Marina /ID# 262761,Varna,,Bulgaria
CIUSSS de l'est de l'Ile-de-Montreal - Hopital Maisonneuve-Rosemont /ID# 262751,Montreal,Quebec,Canada
Fundacion Arturo Lopez Perez /ID# 242421,Providencia,Santiago Metropolitan,Chile
Bradford Hill /ID# 262795,Santiago,Santiago Metropolitan,Chile
Clinica Alemana de Santiago /ID# 244139,Santiago,,Chile
Peking University Third Hospital /ID# 242941,Beijing,Beijing Municipality,China
Fujian Province Cancer Hospital /ID# 265075,Fuzhou,Fujian,China
The First Affiliated Hospital of Xiamen /ID# 264305,Xiamen,Fujian,China
Sun Yat-Sen University Cancer Center /ID# 242712,Guangzhou,Guangdong,China
Guangdong Provincial Peoples Hospital /ID# 242942,Guangzhou,Guangdong,China
The Second Hospital of Hebei Medical University /ID# 242944,Shijiazhuang,Hebei,China
Harbin Medical University Cancer Hospital /Id# 242961,Harbin,Heilongjiang,China
Henan Cancer Hospital /ID# 242700,Zhengzhou,Henan,China
Union Hospital affiliated to Tongji Medical College of Huazhong University of Sc /ID# 242702,Wuhan,Hubei,China
Hubei Cancer Hospital /ID# 242963,Wuhan,Hubei,China
Jiangsu Peoples Hospital /ID# 271924,Nanjing,Jiangsu,China
The First Affiliated Hospital of Soochow University /ID# 242939,Suzhou,Jiangsu,China
The First Affiliated Hospital of Nanchang University /ID# 242703,Nanchang,Jiangxi,China
Jiangxi Provincial Cancer Hospital /ID# 242968,Nanchang,Jiangxi,China
The First Hospital of Jilin University /ID# 242940,Changchun,Jilin,China
First Affiliated Hospital of China Medical University /ID# 242701,Shenyang,Liaoning,China
Shandong Cancer Hospital /ID# 264036,Jinan,Shandong,China
Shanghai Tongji Hospital /ID# 263952,Shanghai,Shanghai Municipality,China
Tianjin Cancer Hospital /ID# 243940,Tianjin,Tianjin Municipality,China
"Institute of Hematology & Blood Diseases Hospital, Chinese Academy of Medical Sc /ID# 243139",Tianjin,Tianjin Municipality,China
The Affiliated Cancer Hospital of Xinjiang Medical University /ID# 242966,Ürümqi,Xinjiang,China
Yunnan Province Cancer Hospital /ID# 264057,Kunming,Yunnan,China
"The First Affiliated Hospital, Zhejiang University School of Medicine /ID# 242960",Hangzhou,Zhejiang,China
Zhejiang Cancer hospital /ID# 242711,Hangzhou,Zhejiang,China
"Second Affiliated Hospital, Zhejiang University - Binjiang Campus /ID# 243137",Hangzhou,Zhejiang,China
The First Affiliated Hospital of Wenzhou Medical University /ID# 263951,Wenzhou,Zhejiang,China
Klinicka bolnica Merkur /ID# 262619,Zagreb,City of Zagreb,Croatia
Klinicki bolnicki centar Sestre milosrdnice /ID# 262620,Zagreb,City of Zagreb,Croatia
Klinicki bolnicki centar Zagreb /ID# 262617,Zagreb,City of Zagreb,Croatia
Klinicki bolnicki centar Osijek /ID# 262621,Osijek,County of Osijek-Baranja,Croatia
Klinički Bolnički Centar Rijeka /ID# 266004,Rijeka,Primorje-Gorski Kotar County,Croatia
Klinicki Bolnicki Centar (KBC) Split /ID# 262618,Split,Split-Dalmatia County,Croatia
Fakultní nemocnice Hradec Králové - Sokolská /ID# 264071,Hradec Králové,Hradec Kralove,Czechia
Fakultni nemocnice Motol a Homolka /ID# 272378,Prague,Praha 5,Czechia
Fakultni nemocnice Olomouc /ID# 262832,Olomouc,,Czechia
Les Hôpitaux Universitaires de Strasbourg - Hôpital de Hautepierre /ID# 264068,Strasbourg,Alsace,France
CHU de CAEN - Hopital de la Cote de Nacre /ID# 243075,Caen,Calvados,France
CHRU Tours - Hopital Bretonneau /ID# 244580,Tours,Indre-et-Loire,France
Centre Hospitalier D'Avignon /ID# 243072,Avignon,Provence-Alpes-Côte d'Azur Region,France
Centre Hospitalier de la Cote Basque /ID# 243065,Bayonne,Pyrenees-Atlantiques,France
CHU Poitiers - La miletrie /ID# 243074,Poitiers,Vienne,France
Hopital Saint Vincent de Paul /ID# 243070,Lille,,France
General Hospital of Athens Laiko /ID# 262809,Athens,Attica,Greece
University General Hospital Attikon /ID# 242041,Athens,Attica,Greece
General Hospital of Athens Evaggelismos and Ophthalmiatrio of Athens Polyclinic /ID# 242039,Athens,,Greece
General University Hospital of Thessaloniki AXEPA /ID# 242038,Thessaloniki,,Greece
Theageneio Anticancer Hospital /ID# 242036,Thessaloniki,,Greece
Pecsi Tudomanyegyetem Klinikai Kozpont /ID# 262924,Pécs,Baranya,Hungary
Gyor-Moson-Sopron Varmegyei Petz Aladar Egyetemi Oktato Korhaz /ID# 262901,Győr,Győr-Moson-Sopron,Hungary
